date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:13	191806/191806	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202017%2009:36:06%20GMT	https://en.wikipedia.org/wiki/User:Noclip	C:/congress_site/congres/en.wikipedia.org/wiki/User_Noclip.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:13	3059/3059	---M--	200	added ('OK')	image/png	etag:341bc9b87b611e83c8bcdad3f9152479	https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/PD-icon.svg/64px-PD-icon.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/6/62/PD-icon.svg/64px-PD-icon.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:14	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jul%202017%2014:06:14%20GMT	https://en.wikipedia.org/wiki/en:public_domain	C:/congress_site/congres/en.wikipedia.org/wiki/en_public_domain	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:14	211091/211091	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jul%202017%2020:22:21%20GMT	https://en.wikipedia.org/wiki/Public_domain	C:/congress_site/congres/en.wikipedia.org/wiki/Public_domain.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:14	2650/2650	---M--	200	added ('OK')	image/png	etag:9148c1aa8b1114e4e1347584f85ef675	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Cscr-featured.svg/40px-Cscr-featured.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Cscr-featured.svg/40px-Cscr-featured.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:14	1568/1568	---M--	200	added ('OK')	image/png	etag:1125c1d071d3b85cc518202e414f5ad6	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:14	2229/2229	---M--	200	added ('OK')	image/png	etag:4d10f63c3af2cf632b10c0412dab1b3b	https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Wikipedia-logo-v2.svg/30px-Wikipedia-logo-v2.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/8/80/Wikipedia-logo-v2.svg/30px-Wikipedia-logo-v2.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:16	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:06:15%20GMT	http://commons.wikimedia.org/wiki/Commons:Featured_picture_candidates/Image:Capitol_Building_Full_View.jpg	C:/congress_site/congres/commons.wikimedia.org/wiki/Commons_Featured_picture_candidates/Image_Capitol_Building_Full_View.47.delayed	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:16	34259/34259	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202017%2014:06:16%20GMT	https://commons.wikimedia.org/wiki/Commons:Featured_picture_candidates/Image:Capitol_Building_Full_View.jpg	C:/congress_site/congres/commons.wikimedia.org/wiki/Commons_Featured_picture_candidates/Image_Capitol_Building_Full_View.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:06:16	664/664	---M--	200	added ('OK')	image/png	etag:c04c279c4cb50206951bf9b8bfe28be2	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Cscr-featured.svg/15px-Cscr-featured.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Cscr-featured.svg/15px-Cscr-featured.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
